,Features
0,HGD
1,KLHDC7A
2,HPN
3,KIF12
4,IMPA2
5,CRB3
6,GFAP
7,PAX8
8,HKDC1
9,POU3F3
10,SMIM24
11,MB
12,HAND2
13,CEACAM6
14,NOX1
15,TRIM31
16,C9orf152
17,GPX2
18,S100P
19,PRKAA2
20,RIPK4
21,EMX2
22,C8G
23,VTN
24,ORM1
25,ORM2
26,CXCL17
27,SDR16C5
28,SFTPA2
29,SLC6A14
30,SMIM6
31,CD24
32,SPINT2
33,KLK7
34,KLK6
35,ALDH3B2
36,CRABP2
37,KLK10
38,PPP1R1B
39,SERPINB5
40,NKX3-1
41,TMEM139
42,CLDN4
43,CDC25A
44,KRT5
45,FOXE1
46,DUOXA1
47,DUOX2
48,DUOX1
49,DUOXA2
50,FOXL2
51,ST6GALNAC1
52,SOX17
53,SPDEF
