,Features
0,MLC1
1,GRHL2
2,RDH5
3,HGD
4,KLHDC7A
5,HPN
6,KIF12
7,IMPA2
8,CRB3
9,ARHGAP9
10,GJB1
11,C1orf210
12,BACE2
13,ETV4
14,ERBB3
15,FMN1
16,MITF
17,AGR3
18,TNFAIP8
19,SLFN11
20,RAP2B
21,CAVIN1
22,ANXA11
23,ABI3BP
24,CHGB
25,CHGA
26,RUNDC3A
27,PTPRN
28,GNG3
29,VWA5B2
30,AGR2
31,POU5F1
32,EPHA1
33,AP1M2
34,AHNAK
35,FEZ1
36,B3GNT3
37,GFAP
38,SLC25A18
39,GPM6B
40,ESRP2
41,AQP4
42,FAM107A
43,GRIK5
44,ATP1A2
45,CLDN4
46,NKX3-1
47,TTYH1
48,OLIG1
49,BCAN
50,LAD1
51,ATP1B2
52,ESRP1
53,MSI1
54,RAB25
55,PLP1
56,RFTN2
57,BAALC
58,LGALS4
59,PAX8
60,HKDC1
61,POU3F3
62,SMIM24
63,MB
64,HAND2
65,EPB41L1
66,CHST13
67,ASGR2
68,ASGR1
69,PROC
70,VTN
71,ITIH3
72,SLC22A31
73,NAPSA
74,SFTPB
75,FOXA2
76,CTSE
77,TMEM30B
78,NEBL
79,C6orf132
80,SPINT2
81,PRR15L
82,GPAM
83,SOX17
84,EMX2
85,NPR1
86,MEIS1
87,SST
88,MECOM
89,KLK4
90,ACPP
91,SLC45A3
92,SPOCK1
93,RDH11
94,DDX3Y
95,FAM83F
96,RBBP8NL
97,CHMP4C
98,PROM2
99,PLIN1
100,EFHD1
101,ENPP1
102,PRLR
103,AR
104,KRT6A
105,GATA3
106,SOX2
107,TMPRSS4
108,SOX21
109,ST6GALNAC1
110,TP73
111,TCF21
112,FOXF1
113,CDHR5
114,PLTP
115,VWCE
116,PNMA8B
117,GYPC
118,GMFG
119,ITM2C
120,FOXE1
121,AZGP1
122,GJC3
123,IRX2
124,CEACAM6
125,NOX1
126,TRIM31
127,C9orf152
128,GPX2
129,S100P
130,MISP
131,KRT7
132,HOXA9
133,HOXA11
134,HOXA10
135,EPCAM
136,SERPINA3
137,SERPINA5
138,HOMER2
139,TRABD2A
140,MYB
141,SUSD4
142,STOX2
143,PHYHD1
144,FAT2
145,LYNX1
146,MTRNR2L9
147,MTRNR2L2
148,MTRNR2L8
149,PLEKHJ1
150,PRDX5
151,TMEM186
152,CDHR1
153,RUBCNL
154,CRB2
155,AIFM3
156,CDR2L
157,ALPL
158,PRKAA2
159,RIPK4
160,C8G
161,ORM1
162,ORM2
163,CXCL17
164,SDR16C5
165,SFTPA2
166,SLC6A14
167,SMIM6
168,CD24
169,KLK7
170,KLK6
171,ALDH3B2
172,CRABP2
173,KLK10
174,PPP1R1B
175,SERPINB5
176,TMEM139
177,CDC25A
178,KRT5
179,DUOXA1
180,DUOX2
181,DUOX1
182,DUOXA2
183,FOXL2
184,SPDEF
185,C2orf72
186,GPRC5A
187,SLC6A8
188,MYO10
189,TFAP2A
190,FGD1
191,LZTS1
192,GNG12
193,TACC2
194,PERP
195,TJP1
196,PTPN3
197,CDS1
198,DSP
199,ART5
200,CALML3
201,IKZF1
202,HPX
203,ABCC6|LOC105369239
204,COL17A1
205,GALNT5
206,PCDH7
207,VILL
208,SERPINA1
209,C5
210,AMBP
211,AGT
212,PRIMA1
213,APOA1
214,SCGB1D2
215,OLFM4
216,C16orf89
217,LMO3
218,DSC3
219,KRT6B
220,JAG1
221,S1PR5
222,SLC34A2
223,CCNJL
224,LPCAT1
225,LMO7
226,ZDHHC9
227,SMPDL3B
228,TMC5
229,CEACAM1
230,VDR
231,PON3
232,STEAP4
233,GRB7
234,PLEKHH1
235,PMEL
236,S100A1
237,ST6GALNAC2
238,SCGB2A1
239,TJP3
240,SMIM22
241,CLDN3
242,BCAM
243,LRRN2
244,NAT8L
245,ZNF285
246,RNF128
247,HIST1H4C
248,TRAPPC5
249,CTU1
250,RAMP3
251,MTRNR2L10
252,MTRNR2L6
253,COX1
254,BCL2L15
255,TESC
256,NOSTRIN
257,GPR35
258,CLDN2
259,SKA3
260,NACA2
261,PABPC3
262,MTRNR2L3
263,SLC44A4
264,ALDOB
265,CYP3A5
266,MUC3A
267,MMP28
268,KDF1
269,OVOL1
270,GJB3
271,SLC46A1
272,ZNF750
273,PASK
274,PRSS16
275,WDR53
276,NECTIN4
277,TACSTD2
278,RHOV
279,SDC1
280,PITX1
281,PDE8B
282,SNX22
283,PKP1
284,MSX1
285,CSTA
286,SALL1
287,PRAME
288,ZNF280B
289,CIRBP
290,MYL6B
291,FAM171A2
292,CCDC157
293,TMEM9
294,AK4
295,LTB4R2
296,FAM78A
297,ZNF154
298,USP20
299,KIAA0922
300,HHEX
301,KRT23
