,record
0,labels
1,2415
2,8401
3,4926
4,2394
5,12860
6,12560
7,11800
8,4748
9,12218
10,12999
11,11492
12,12422
13,10271
14,3852
15,12215
16,1735
17,11613
18,417
19,12512
20,6842
21,2576
22,8666
23,1452
24,4509
25,13420
26,12155
27,8540
28,3118
29,480
30,13285
31,2550
32,6298
33,12061
34,1109
35,7809
36,48
37,4731
38,10126
39,10414
40,6409
41,5742
42,6742
43,8997
44,8346
45,10204
46,9288
47,11397
48,8018
49,6954
50,9365
51,8205
52,4947
53,10242
54,1956
55,1522
56,2121
57,3263
58,6178
59,7468
60,117
61,4828
62,3772
63,1184
64,1439
65,7715
66,770
67,4826
68,12618
69,3419
70,10261
71,7663
72,9093
73,11745
74,6431
75,6165
76,6835
77,6819
78,9703
79,12436
80,7042
81,522
82,11610
83,8749
84,1737
85,4384
86,6867
87,8209
88,9916
89,7346
90,11011
91,6701
92,21
93,6116
94,9374
95,1682
96,8843
97,10429
98,8148
99,2308
100,13239
101,1578
102,4425
103,2632
104,12741
105,1670
106,2351
107,12845
108,7212
109,12496
110,6074
111,3655
112,8136
113,6289
114,9259
115,7651
116,919
117,2558
118,3477
119,1351
120,13608
121,8715
122,12434
123,1514
124,955
125,6474
126,89
127,7043
128,9400
129,10888
130,5783
131,12339
132,11104
133,3571
134,2154
135,12930
136,4322
137,11877
138,8219
139,1458
140,9675
141,24
142,901
143,11221
144,1105
145,9732
146,9599
147,1678
148,4257
149,4097
150,13083
151,4851
152,10532
153,13256
154,6633
155,3781
156,11223
157,2888
158,13030
159,8277
160,8811
161,6395
162,10475
163,1175
164,2705
165,3790
166,4677
167,3677
168,8180
169,8984
170,4649
171,2621
172,9204
173,9982
174,5457
175,7737
176,10872
177,9996
178,9052
179,4193
180,7783
181,12923
182,7895
183,7484
184,8951
185,5679
186,8553
187,3275
188,12663
189,5736
190,8461
191,11962
192,12633
193,9480
194,5355
195,4679
196,81
197,10768
198,12514
199,5963
200,2893
201,5764
202,741
203,4883
204,9810
205,659
206,8218
207,9522
208,9279
209,5430
210,6944
211,11796
212,893
213,11393
214,12719
215,11913
216,1100
217,9787
218,6688
219,7470
220,8027
221,12709
222,6444
223,13007
224,2366
225,9909
226,3456
227,9344
228,1792
229,8774
230,8009
231,5321
232,4516
233,2238
234,10368
235,9118
236,5364
237,3450
238,4475
239,6477
240,13364
241,12446
242,8445
243,6573
244,2319
245,3513
246,12841
247,5663
248,13405
249,9524
250,11542
251,4954
252,8311
253,3543
254,11762
255,3647
256,9859
257,12748
258,5594
259,9478
260,7507
261,7189
262,264
263,10669
264,8525
265,6283
266,9356
267,9655
268,725
269,12902
270,2177
271,6900
272,7182
273,10222
274,12405
275,1885
276,13155
277,1530
278,4745
279,8450
280,2630
281,6253
282,2818
283,9050
284,8399
285,12701
286,11135
287,12755
288,7263
289,4595
290,11820
291,4859
292,8169
293,12912
294,7872
295,13018
296,8910
297,9872
298,12961
299,11686
300,10317
301,7574
302,7554
303,9819
304,13240
305,4627
306,12219
307,6630
308,9444
309,923
310,1314
311,3027
312,6294
313,4218
314,9415
315,12967
316,3907
317,12722
318,10326
319,6017
320,7670
321,2107
322,2981
323,11626
324,13368
325,3249
326,2029
327,4647
328,2484
329,10748
330,841
331,10441
332,10376
333,10956
334,3095
335,2568
336,7633
337,7582
338,12577
339,10923
340,7967
341,1058
342,9193
343,2587
344,9948
345,5403
346,9065
347,1259
348,6627
349,3829
350,4035
351,2972
352,5885
353,9954
354,5261
355,6425
356,1243
357,9747
358,2831
359,7136
360,1371
361,11020
362,108
363,6610
364,4559
365,1006
366,7586
367,4288
368,8700
369,220
370,10660
371,5258
372,4678
373,2260
374,2447
375,1837
376,8626
377,7732
378,8815
379,5818
380,918
381,4710
382,236
383,8082
384,26
385,1094
386,6707
387,6712
388,2217
389,3330
390,6447
391,9264
392,2795
393,4959
394,8723
395,11554
396,10345
397,3850
398,3668
399,6786
400,286
401,928
402,12711
403,2274
404,1546
405,13601
406,6387
407,13619
408,9284
409,11840
410,8770
411,9594
412,1916
413,12180
414,13226
415,2982
416,9090
417,3773
418,12948
419,986
420,4451
421,5067
422,6641
423,4211
424,8469
425,12302
426,7066
427,9929
428,4458
429,4147
430,3059
431,5655
432,6366
433,11256
434,10824
435,11230
436,13488
437,9831
438,5340
439,10015
440,3336
441,3685
442,10480
443,5993
444,10880
445,8390
446,1123
447,10737
448,4252
449,8873
450,7962
451,932
452,12917
453,970
454,2658
455,7588
456,9364
457,11378
458,10059
459,13123
460,12240
461,5177
462,6580
463,1679
464,2758
465,1134
466,4829
467,4695
468,2867
469,11925
470,3021
471,7594
472,2369
473,7499
474,4540
475,11816
476,12944
477,5169
478,6029
479,5701
480,13132
481,11534
482,4121
483,11679
484,6551
485,1684
486,11017
487,3242
488,3060
489,2798
490,13631
491,6410
492,5174
493,152
494,3141
495,11517
496,11623
497,9336
498,12135
499,2788
500,8041
501,12689
502,11468
503,12981
504,7047
505,12498
506,5371
507,9253
508,64
509,477
510,3552
511,12355
512,13325
513,1705
514,7217
515,3712
516,1704
517,8515
518,7802
519,6777
520,5328
521,12903
522,10263
523,6231
524,2670
525,9888
526,6194
527,4652
528,10569
529,3532
530,10991
531,12162
532,8580
533,6377
534,11747
535,4987
536,9502
537,2006
538,4839
539,6848
540,12326
541,11175
542,12385
543,283
544,7717
545,10845
546,11682
547,12646
548,10407
549,10560
550,544
551,4967
552,5126
553,13618
554,3022
555,10373
556,11127
557,10837
558,11196
559,7143
560,6371
561,11019
562,7385
563,4069
564,11657
565,8354
566,2737
567,8129
568,8683
569,2708
570,9842
571,5697
572,4936
573,7235
574,4502
575,13168
576,7696
577,2894
578,11304
579,5549
580,7059
581,1068
582,11351
583,2983
584,1745
585,12906
586,4067
587,9729
588,12883
589,1891
590,6714
591,8104
592,1442
593,525
594,8829
595,9221
596,10127
597,10461
598,6945
599,2039
600,5089
601,1017
602,10771
603,6613
604,13022
605,4888
606,2088
607,13028
608,7489
609,1048
610,13223
611,2877
612,4868
613,12087
614,7750
615,5055
616,12137
617,1783
618,13487
619,10951
620,11437
621,12270
622,12406
623,9672
624,4232
625,12590
626,7326
627,7766
628,453
629,3396
630,10412
631,8887
632,10459
633,9845
634,5032
635,2199
636,4443
637,9441
638,4401
639,4692
640,2743
641,8023
642,3536
643,4861
644,6061
645,10020
646,13354
647,12069
648,2267
649,2956
650,12583
651,3121
652,684
653,3638
654,1342
655,2549
656,3761
657,12481
658,8475
659,8231
660,12054
661,8517
662,10960
663,5983
664,9191
665,13479
666,12183
667,5768
668,11145
669,3914
670,12978
671,6737
672,8694
673,6375
674,1137
675,3828
676,5380
677,4408
678,8814
679,4046
680,962
681,11238
682,1618
683,552
684,7981
685,1067
686,8646
687,2565
688,12724
689,3995
690,6264
691,4460
692,1539
693,2901
694,2943
695,2524
696,10404
697,1969
698,7829
699,10915
700,9271
701,6663
702,4600
703,7399
704,10752
705,3063
706,878
707,35
708,6295
709,2810
710,8516
711,832
712,1603
713,6648
714,1360
715,2103
716,1868
717,3159
718,2304
719,8355
720,5572
721,4279
722,9715
723,1959
724,3644
725,196
726,2868
727,7991
728,11736
729,685
730,5445
731,1593
732,5297
733,2072
734,11264
735,8157
736,11193
737,12333
738,8537
739,12336
740,12867
741,2481
742,12055
743,1206
744,4338
745,3230
746,10680
747,9043
748,12075
749,5087
750,2232
751,2775
752,4919
753,5675
754,2539
755,5435
756,7810
757,5637
758,1481
759,5390
760,11938
761,10528
762,1647
763,3816
764,5236
765,4414
766,3102
767,8859
768,11363
769,10700
770,2528
771,7667
772,13069
773,3709
774,13198
775,3199
776,5275
777,1743
778,4702
779,12567
780,9005
781,527
782,6470
783,12935
784,4261
785,6472
786,4346
787,4047
788,8389
789,11022
790,11206
791,12973
792,5779
793,7877
794,10942
795,1952
796,6946
797,2666
798,3103
799,10237
800,11117
801,3127
802,6609
803,3441
804,1475
805,2691
806,4769
807,935
808,2560
809,11147
810,153
811,5491
812,7862
813,8467
814,11036
815,13206
816,6974
817,2721
818,1409
819,245
820,10090
821,2115
822,6798
